"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.404884792E0,-2.514770508E-2,-0.000000000E0,9.843679962E0
3.414898792E0,-2.874023438E-2,-2.844085693E-3,9.842931519E0
3.424911792E0,-1.841171265E-2,4.490661621E-4,9.839788055E0
3.434925792E0,-2.170486450E-2,4.490661621E-3,9.846673737E0
3.444939792E0,-2.050735474E-2,3.891906738E-3,9.844578094E0
3.454953792E0,-2.140548706E-2,2.544708252E-3,9.853260040E0
3.464966792E0,-2.829116821E-2,4.340972900E-3,9.845027161E0
3.474980792E0,-2.844085693E-2,-2.844085693E-3,9.838291168E0
3.484994792E0,-2.948867798E-2,7.484436035E-4,9.839937744E0
3.495007792E0,-2.380050659E-2,9.131011963E-3,9.850565643E0
3.505021792E0,-3.038681030E-2,-1.646575928E-3,9.849068756E0
3.515035792E0,-2.559677124E-2,7.484436035E-4,9.849667511E0
3.525049792E0,-2.409988403E-2,1.496887207E-4,9.848619690E0
3.535062792E0,-2.888992310E-2,4.191284180E-3,9.836345215E0
3.545076792E0,-2.380050659E-2,4.939727783E-3,9.843530273E0
3.555090792E0,-2.933898926E-2,2.844085693E-3,9.846374359E0
3.565103792E0,-3.068618774E-2,7.634124756E-3,9.848170624E0
3.575117792E0,-2.799179077E-2,4.041595459E-3,9.836644592E0
3.585131792E0,-2.559677124E-2,5.987548828E-4,9.847571869E0
3.595145792E0,-2.694396973E-2,4.939727783E-3,9.845775604E0
3.605158792E0,-2.634521484E-2,2.694396973E-3,9.840835876E0
3.615172792E0,-2.664459229E-2,-1.646575928E-3,9.843979340E0
3.625186792E0,-3.188369751E-2,-2.844085693E-3,9.830207977E0
3.635199792E0,-2.380050659E-2,8.232879639E-3,9.825268250E0
3.645213792E0,-2.978805542E-2,6.436614990E-3,9.848619690E0
3.655227792E0,-2.679428101E-2,2.993774414E-4,9.840985565E0
3.665241792E0,-1.676513672E-2,2.245330811E-3,9.852361908E0
3.675254792E0,-2.380050659E-2,-1.347198486E-3,9.852511597E0
3.685268792E0,-1.706451416E-2,2.694396973E-3,9.844129028E0
3.695282792E0,-1.796264648E-2,1.646575928E-3,9.846524048E0
3.705295792E0,-2.065704346E-2,3.143463135E-3,9.842931519E0
3.715309792E0,-2.320175171E-2,-3.143463135E-3,9.841135254E0
3.725323792E0,-2.439926147E-2,-1.496887207E-4,9.846074982E0
3.735336792E0,-1.960922241E-2,4.191284180E-3,9.846823425E0
3.745350792E0,-2.170486450E-2,5.538482666E-3,9.849966888E0
3.755364792E0,-2.215393066E-2,3.891906738E-3,9.836644592E0
3.765378792E0,-2.305206299E-2,2.844085693E-3,9.848919067E0
3.775391792E0,-2.529739380E-2,6.735992432E-3,9.849517822E0
3.785405792E0,-3.068618774E-2,5.987548828E-3,9.844727783E0
3.795419792E0,-3.158432007E-2,-5.239105225E-3,9.845326538E0
3.805432792E0,-3.248245239E-2,5.089416504E-3,9.841284943E0
3.815446792E0,-3.532653809E-2,8.232879639E-3,9.841434631E0
3.825460792E0,-2.170486450E-2,9.580078125E-3,9.853709106E0
3.835474792E0,-2.499801636E-2,7.484436035E-4,9.849817200E0
3.845487792E0,-2.215393066E-2,5.688171387E-3,9.843081207E0
3.855501792E0,-1.077758789E-2,8.981323242E-4,9.854307861E0
3.865515792E0,-1.616638184E-2,-4.490661621E-4,9.858948212E0
3.875528792E0,-2.844085693E-2,-4.490661621E-4,9.842033386E0
