"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.458589042E0,-4.092580173E-3,-4.913816229E-4,3.321887925E-4
2.468603042E0,2.166381106E-3,-7.212124765E-4,1.223548548E-3
2.478617042E0,2.398042008E-3,-2.025781199E-3,-5.012243055E-4
2.488630042E0,-8.446229622E-4,-5.078106187E-5,-1.427629031E-4
2.498644042E0,2.021371387E-3,1.272686757E-3,-3.583974671E-3
2.508658042E0,1.692471094E-3,-6.975196302E-4,-1.422021072E-3
2.518672042E0,-4.472006112E-4,-1.731570810E-4,1.605637372E-4
2.528685042E0,-4.695709795E-4,-4.264237359E-4,5.803210661E-5
2.538699042E0,-1.289680135E-3,-7.713125087E-4,-8.128155023E-4
2.548713042E0,-2.215661574E-3,-1.260286663E-4,1.641287468E-3
2.558726042E0,4.042651504E-3,-1.605909783E-3,1.983428840E-3
2.568740042E0,2.368588001E-3,-1.781678409E-3,-4.642824642E-4
2.578754042E0,9.280610830E-4,-9.044499602E-4,1.182627399E-3
2.588768042E0,1.705704257E-3,-1.588616055E-3,-1.632866450E-3
2.598781042E0,-2.957574092E-3,-1.394768246E-3,1.019194257E-3
2.608795042E0,-3.392468207E-3,1.153877005E-3,-6.093289703E-4
2.618809042E0,4.339513369E-3,-1.841957797E-3,1.293765381E-3
2.628822042E0,4.273299128E-4,-4.054487217E-4,-3.460329026E-6
2.638836042E0,-5.234964192E-4,-1.291243592E-3,4.919883795E-4
2.648850042E0,3.570314497E-3,3.713676706E-4,-1.749594230E-3
2.658864042E0,7.600598037E-4,2.033466240E-3,1.077246387E-3
2.668877042E0,1.946706325E-4,-1.719992841E-3,-2.138540149E-4
2.678891042E0,-1.784681808E-3,1.543302787E-3,-4.166434519E-4
2.688905042E0,2.417253330E-3,-9.065389168E-4,-1.616131049E-3
2.698918042E0,6.502652541E-4,-6.195513997E-4,-8.668298833E-4
2.708932042E0,-1.117541455E-3,-2.459099051E-4,3.172112629E-4
2.718946042E0,-1.813014969E-3,-1.498687081E-3,-4.176623188E-4
2.728959042E0,8.978163823E-4,-6.001365837E-4,-1.451767981E-3
2.738973042E0,1.352368854E-3,-4.900726490E-4,1.212303527E-3
2.748987042E0,-2.470066305E-3,-7.124464028E-4,-2.508398611E-3
2.759001042E0,-1.707647461E-3,1.082481816E-3,1.950535690E-3
2.769014042E0,3.429865465E-4,1.816981938E-3,-1.570899040E-4
2.779028042E0,1.248430461E-3,5.743859801E-4,3.834581003E-4
2.789042042E0,-6.882194430E-4,-2.585188020E-3,3.317929804E-4
2.799055042E0,1.172938384E-3,-1.123517053E-3,8.231778629E-4
2.809069042E0,-2.688644920E-3,-4.774341360E-4,-8.469400927E-5
2.819083042E0,9.936271235E-4,-1.626575831E-4,-4.422543570E-4
2.829097042E0,-6.551360711E-4,-4.888947587E-4,3.276849864E-3
2.839110042E0,2.248930745E-3,2.142221900E-3,-3.791470081E-4
2.849124042E0,6.380770355E-5,2.196859568E-4,1.273610862E-3
2.859138042E0,4.664035514E-4,1.067934558E-3,2.859253436E-5
2.869151042E0,1.639259979E-3,-1.152609009E-3,1.024881378E-3
2.879165042E0,-1.490797848E-3,2.226258628E-3,4.976531491E-4
2.889179042E0,-1.919034403E-3,-4.906984977E-4,1.161845401E-3
2.899193042E0,-9.211301804E-4,8.212262765E-5,2.824139781E-3
2.909206042E0,1.324714161E-3,2.570580225E-3,1.199877821E-3
2.919220042E0,-2.652987372E-3,-3.984153736E-4,4.338449799E-4
2.929234042E0,-1.807167195E-3,-5.843040999E-4,2.269172110E-4
2.939247042E0,-4.761051387E-4,1.141302986E-3,1.738902181E-3
2.949261042E0,6.496133283E-4,-1.478448510E-3,5.578435957E-5
2.959275042E0,1.280061901E-3,2.092841547E-3,7.521128282E-5
2.969289042E0,-2.125322353E-3,-1.442238223E-3,5.479222164E-4
2.979302042E0,3.003692254E-4,2.071706345E-3,-3.804950975E-4
2.989316042E0,-1.433614641E-3,-1.827693894E-3,9.793150239E-4
